t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
0.04,	-64.6594522873,	18.1354581078,	0,	2299.33606107,	-1759.87920611,	413.128610687,	67.9849867208,	-97.517267744,	413.128610687
0.04,	-3.7582638407,	-66.1232955333,	0,	2301.10250382,	-1764.01367939,	416.806229008,	66.8110417365,	-100.230603207,	416.806229008
0.04,	-3.7582638407,	-66.1232955333,	0,	2302.86894656,	-1768.14815267,	420.483847328,	65.6840545516,	-102.835405251,	420.483847328
0.04,	-3.7582638407,	-66.1232955333,	0,	2304.63538931,	-1772.28262595,	422.767877863,	64.6021468541,	-105.336015213,	422.767877863
0.04,	50.5532627863,	-31.147358148,	0,	2306.40183206,	-1776.41709924,	425.051908397,	65.7359765295,	-106.337563282,	425.051908397
0.04,	50.5532627863,	-31.147358148,	0,	2308.16827481,	-1780.55157252,	427.335938931,	66.824453018,	-107.299049428,	427.335938931
0.04,	-41.1724553268,	46.4594441333,	0,	2309.93471756,	-1784.6860458,	433.863633588,	64.2003617224,	-105.117804036,	433.863633588
0.04,	-41.1724553268,	46.4594441333,	0,	2311.70116031,	-1788.82051908,	440.391328244,	61.6812340786,	-103.023808461,	440.391328244
0.04,	-31.6662151467,	58.3280568333,	0,	2313.46760305,	-1792.95499237,	439.821007634,	59.6431211477,	-100.5388282,	439.821007634
0.04,	-31.6662151467,	58.3280568333,	0,	2315.2340458,	-1797.08946565,	439.250687023,	57.6865327341,	-98.1532471499,	439.250687023
0.04,	-31.6662151467,	58.3280568333,	0,	2317.00048855,	-1801.22393893,	438.680366412,	55.808207857,	-95.8630893417,	438.680366412
0.04,	33.6916731499,	-21.8265363453,	0,	2318.7669313,	-1805.35841221,	438.110045802,	56.6193315069,	-96.870721573,	438.110045802
0.04,	33.6916731499,	-21.8265363453,	0,	2320.53337405,	-1809.4928855,	437.539725191,	57.3980102108,	-97.838048515,	437.539725191
0.04,	51.0777416261,	-38.2676539561,	0,	2322.29981679,	-1813.62735878,	436.96940458,	58.8409845056,	-99.4243270838,	436.96940458
0.04,	51.0777416261,	-38.2676539561,	0,	2324.06625954,	-1817.76183206,	436.399083969,	60.2262398286,	-100.94715451,	436.399083969
0.04,	51.0777416261,	-38.2676539561,	0,	2325.83270229,	-1821.89630534,	435.828763359,	61.5560849386,	-102.409068839,	435.828763359
0.04,	-54.9919243195,	23.9338210495,	0,	2327.59914504,	-1816.86345038,	435.258442748,	58.5899496065,	-92.52381248,	435.258442748
0.04,	-54.9919243195,	23.9338210495,	0,	2329.36558779,	-1811.83059542,	434.688122137,	55.7424596876,	-83.0339663754,	434.688122137
0.04,	28.8773475451,	33.2391923225,	0,	2331.13203053,	-1819.90766412,	429.427419847,	56.3636402401,	-86.1370259817,	429.427419847
0.04,	28.8773475451,	33.2391923225,	0,	2332.89847328,	-1827.98473282,	424.166717557,	56.9599735704,	-89.1159632037,	424.166717557
0.04,	-23.5765087059,	20.9842432553,	0,	2334.66491603,	-1840.19920611,	423.596396947,	55.4342993176,	-96.4378492965,	423.596396947
0.04,	-23.5765087059,	20.9842432553,	0,	2336.43135878,	-1852.41367939,	423.026076336,	53.9696520348,	-103.466859946,	423.026076336
0.04,	30.1462729955,	56.3493828669,	0,	2338.19780153,	-1863.14235115,	422.455755725,	54.7125019114,	-107.373735119,	422.455755725
0.04,	30.1462729955,	56.3493828669,	0,	2339.96424427,	-1873.8710229,	421.885435115,	55.4256377929,	-111.124335285,	421.885435115
0.04,	30.1462729955,	56.3493828669,	0,	2341.73068702,	-1884.59969466,	421.315114504,	56.1102482392,	-114.724911444,	421.315114504
0.04,	-20.2696454605,	47.2398145845,	0,	2343.49712977,	-1897.51432061,	420.744793893,	54.7508375294,	-120.644363319,	420.744793893
0.04,	-20.2696454605,	47.2398145845,	0,	2345.26357252,	-1910.42894656,	420.174473282,	53.4458032479,	-126.327037119,	420.174473282
0.04,	25.2909895454,	62.1114147989,	0,	2347.03001527,	-1914.03914504,	419.604152672,	54.015395738,	-122.255289577,	419.604152672
0.04,	25.2909895454,	62.1114147989,	0,	2348.79645802,	-1917.64934351,	419.033832061,	54.5622045285,	-118.346411936,	419.033832061
